Name,RT,MST1
Pyruvate MX1,8.3326,174
Alanine 2TMS,8.7989,190
Glycine 2TMS,8.9729,204
Valine 2TMS,9.8352,144
"13C,15N-Valine",9.8352,149
Serine 2TMS,10.2328,116
Leucine 2TMS,10.3421,158
Isoleucine 2TMS,10.547,158
Proline 1TMS,10.6311,142
Glycine 3TMS,10.686,248
Succinate 2TMS,10.7392,247
Norleucine 2TMS,10.7741,158
Serine 3TMS,11.11,204
Threonine 3TMS,11.3372,218
Methionine 1TMS,11.6908,104
Aspartate 2TMS,11.7728,245
Aspartate 3TMS,12.4947,232
Methionine 2TMS,12.5428,293
Pyroglutamate 2TMS,12.6012,156
Cysteine 3TMS,12.8003,294
alpha-Ketoglutaric acid,12.9473,198
Proline 2TMS,13.0583,142
Ornithine 3TMS,13.2506,162
Glutamate 3TMS,13.2889,246
Phenylalanine 2TMS,13.4268,192
Ribose,13.6712,307
Asparagine 3TMS,13.6986,188
Ribitol,14.0276,319
Fucose MX1,14.0585,117
Fucose MX2,14.1684,117
Putrescine 4TMS,14.2325,214
Glutamine 4TMS,14.4637,347
Isocitric acid,14.734,245
Citric acid,14.735,183
Ornithine,14.7612,142
Lysine 3TMS pk2,15.061,258
Fructose MX1,15.0708,307
Fructose MX2,15.1354,307
Glucose MX1,15.2544,319
Tyrosine 2TMS,15.3323,208
Glucose MX2,15.4021,205
Mannitol,15.4776,319
13C Sorbitol,15.4805,323
Lysine 4TMS,15.4833,174
Histidine,15.5199,154
Tyrosine 3TMS,15.6235,280
Myoinositol 6TMS,16.5539,305
Ribose-5-phosphate MX1,16.6065,357
Ribose-5-phosphate MX2,16.644,357
Tryptophan 2TMS,17.3412,231
Tryptophan 3TMS,17.4145,305
Cysteine 4TMS,17.7921,411
Glucose-6-Phosphate MX1,17.8562,299
Glucose-6-Phosphate MX2,17.979,299
Trehalose 8TMS,20.0569,361
Maltotriose MX1,24.2288,361
